City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
312,dale,US,76.73,clear sky,38.1689,-86.99,"Motel 6 Dale, IN"
320,bilkha,IN,76.33,overcast clouds,21.4333,70.6,Shri Sthanakvasi Jain Sangh nivJagya
327,harper,LR,76.17,overcast clouds,4.375,-7.7169,Screensaver
333,tuni,IN,77.13,moderate rain,17.35,82.55,Sai Krishna Lodge
337,long beach,US,72.18,overcast clouds,33.767,-118.1892,The Westin Long Beach
343,yenagoa,NG,73.83,scattered clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
345,benghazi,LY,74.71,few clouds,32.1167,20.0667,Tibesti Hotel
347,feijo,BR,78.13,clear sky,-8.1642,-70.3536,Hotel e Restaurante Aҫai
351,rexburg,US,73.38,clear sky,43.826,-111.7897,AmericInn by Wyndham Rexburg BYUI
354,wajid,SO,72.03,few clouds,3.8093,43.2471,xamdihotelresturant114
356,coahuayana,MX,79.27,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
360,tura,IN,76.15,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
365,adelaide,AU,74.59,clear sky,-34.9333,138.6,The Chancellor on Currie
367,nantucket,US,72.0,few clouds,41.2835,-70.0995,Jared Coffin House
368,pringsewu,ID,79.7,overcast clouds,-5.3582,104.9744,Urban Style by Front One
372,port macquarie,AU,74.37,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
376,matara,LK,78.98,light rain,5.9485,80.5353,Amaloh Boutique Resort
377,gusau,NG,75.0,few clouds,12.1628,6.6614,GUEST INN
378,newnan,US,72.37,clear sky,33.3807,-84.7997,La Quinta Inn & Suites by Wyndham Atlanta South - Newnan
388,eyl,SO,79.3,broken clouds,7.9803,49.8164,Amiin Hotel
391,pitimbu,BR,75.79,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
393,salinas,US,74.57,overcast clouds,36.6777,-121.6555,Laurel Inn & Conference Center
412,vila velha,BR,75.15,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
418,carauari,BR,75.04,moderate rain,-4.8828,-66.8958,Hotel Fellip
424,rincon,US,76.86,clear sky,32.296,-81.2354,Days Inn Rincon
440,mayumba,GA,75.43,light rain,-3.432,10.6554,LIKWALE LODGE
441,ibra,OM,78.8,overcast clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
449,nouakchott,MR,78.73,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
455,anloga,GH,78.87,overcast clouds,5.7947,0.8973,Pin Drop Hotel
457,kokrajhar,IN,79.38,scattered clouds,26.399,90.2718,Happy Lodging
459,hobyo,SO,77.07,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
462,inirida,CO,74.05,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
463,acajutla,SV,79.57,overcast clouds,13.5928,-89.8275,asi es
470,natal,BR,77.65,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
479,fare,PF,79.12,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
480,tomatlan,MX,77.92,overcast clouds,19.9333,-105.25,El Salvial
483,tahta,EG,73.63,clear sky,26.7693,31.5021,مصطفي عساف
486,sao jose da coroa grande,BR,75.43,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
487,gat,IL,72.39,clear sky,31.61,34.7642,OlusHome
490,regidor,CO,78.93,overcast clouds,8.6657,-73.8215,Hotel Charles
496,marawi,PH,77.65,broken clouds,7.9986,124.2928,Derogongan Residence
497,port augusta,AU,78.71,scattered clouds,-32.5,137.7667,Majestic Oasis Apartments
505,sarankhola,BD,78.13,overcast clouds,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
511,olinda,BR,76.73,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
514,tarrafal,CV,79.32,few clouds,15.2833,-23.7667,Hotel Ixola
515,nawashahr,IN,78.06,scattered clouds,31.1167,76.1333,Hotel Janpath
518,kapit,MY,76.19,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
527,salinopolis,BR,78.91,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
530,nouadhibou,MR,73.38,clear sky,20.931,-17.0347,El Medina
533,baker city,US,74.91,few clouds,44.7749,-117.8344,Bridge Street Inn
539,fukue,JP,77.36,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
549,russell,US,73.0,clear sky,32.3502,-85.1999,Macs
