City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,caruray,PH,2021-09-27 03:23:22,10.3094,119.0128,86.79,67,40,4.36
145,walvis bay,NA,2021-09-27 03:23:54,-22.9575,14.5053,56.08,94,93,4.61
146,fare,PF,2021-09-27 03:23:54,-16.7,-151.0167,79.66,77,4,13.62
147,krasnoselkup,RU,2021-09-27 03:22:02,65.7,82.4667,37.94,78,42,8.99
148,tiksi,RU,2021-09-27 03:23:55,71.6872,128.8694,34.43,90,100,11.74
149,puerto colombia,CO,2021-09-27 03:23:56,10.9878,-74.9547,84.29,85,23,15.52
150,taoudenni,ML,2021-09-27 03:23:56,22.6783,-3.9836,90.25,12,41,7.94
151,faya,SA,2021-09-27 03:23:56,18.3851,42.4509,63.12,24,3,3.98
152,kangaba,ML,2021-09-27 03:23:57,11.9333,-8.4167,72.07,90,38,2.26
153,sao sebastiao,BR,2021-09-27 03:23:57,-23.76,-45.4097,67.71,85,5,2.48
154,cockburn town,TC,2021-09-27 03:23:58,21.4612,-71.1419,83.19,74,5,11.3
155,boda,CF,2021-09-27 03:23:59,4.3189,17.4695,68.45,97,100,4.43
156,dehui,CN,2021-09-27 03:23:59,44.5333,125.7,64.71,82,100,13.89
157,lavrentiya,RU,2021-09-27 03:23:59,65.5833,-171.0,32.74,80,53,3.87
158,tautira,PF,2021-09-27 03:24:00,-17.7333,-149.15,82.42,78,26,13.87
159,esperance,AU,2021-09-27 03:24:00,-33.8667,121.9,58.84,83,86,13.4
160,cotonou,BJ,2021-09-27 03:24:01,6.3654,2.4183,76.98,94,40,3.44
161,san quintin,MX,2021-09-27 03:24:02,30.4833,-115.95,68.4,76,48,9.31
162,la ronge,CA,2021-09-27 03:24:02,55.1001,-105.2842,57.45,72,90,2.3
163,lakes entrance,AU,2021-09-27 03:24:03,-37.8811,147.981,65.16,47,23,6.89
164,gazli,UZ,2021-09-27 03:24:03,40.1333,63.45,57.65,63,0,9.64
165,aripuana,BR,2021-09-27 03:24:03,-9.1667,-60.6333,74.93,80,72,2.53
166,saint george,US,2021-09-27 03:24:04,37.1041,-113.5841,82.99,29,1,1.99
167,castro,BR,2021-09-27 03:24:04,-24.7911,-50.0119,63.19,74,45,4.79
168,ullapool,GB,2021-09-27 03:24:05,57.8987,-5.1604,52.75,95,100,2.37
169,luba,GQ,2021-09-27 03:24:05,3.4568,8.5547,73.29,86,99,3.96
170,san rafael,AR,2021-09-27 03:19:29,-34.6177,-68.3301,54.79,28,0,6.29
171,kaka,TM,2021-09-27 03:24:06,37.3482,59.6143,61.57,63,100,2.33
172,tessalit,ML,2021-09-27 03:24:07,20.1986,1.0114,84.56,16,1,8.68
173,wollongong,AU,2021-09-27 03:24:07,-34.4333,150.8833,69.67,53,47,14.16
174,fairbanks,US,2021-09-27 03:24:06,64.8378,-147.7164,35.6,78,90,4.61
175,djambala,CG,2021-09-27 03:24:08,-2.5447,14.7533,68.38,89,100,2.21
176,lida,BY,2021-09-27 03:24:08,53.8833,25.2997,41.5,91,3,5.84
177,georgetown,MY,2021-09-27 03:24:09,5.4112,100.3354,85.95,70,20,2.3
178,korem,ET,2021-09-27 03:24:09,12.5058,39.5228,53.47,44,16,2.3
179,cabedelo,BR,2021-09-27 03:24:10,-6.9811,-34.8339,74.07,85,42,17.27
180,petropavlovsk-kamchatskiy,RU,2021-09-27 03:24:10,53.0452,158.6483,57.79,41,20,2.24
181,dingle,PH,2021-09-27 03:24:11,10.9995,122.6711,86.67,71,88,7.76
182,yining,CN,2021-09-27 03:19:27,29.0361,114.5636,91.62,57,89,1.52
183,velingara,SN,2021-09-27 03:24:12,13.15,-14.1167,75.2,92,98,3.47
184,port-cartier,CA,2021-09-27 03:24:13,50.0334,-66.8654,55.62,98,100,7.99
185,batemans bay,AU,2021-09-27 03:24:13,-35.7167,150.1833,69.19,46,3,13.4
186,laguna,US,2021-09-27 03:19:22,38.421,-121.4238,73.9,67,1,5.99
187,itarema,BR,2021-09-27 03:24:14,-2.9248,-39.9167,78.89,84,12,16.26
188,vilyuysk,RU,2021-09-27 03:24:14,63.7553,121.6247,41.31,62,88,11.68
189,hamilton,US,2021-09-27 03:24:15,39.1834,-84.5333,64.81,73,1,0.0
190,babu,CN,2021-09-27 03:24:15,24.4167,111.5167,91.96,53,0,2.44
191,uvira,CD,2021-09-27 03:24:16,-3.4067,29.1458,74.37,66,29,3.11
192,paamiut,GL,2021-09-27 03:21:30,61.994,-49.6678,32.58,56,7,7.31
193,yellowknife,CA,2021-09-27 03:19:57,62.456,-114.3525,39.29,99,20,4.61
194,boden,SE,2021-09-27 03:24:17,65.8252,21.6886,48.2,90,92,4.0
